arm_angle,pelvis_angle,foot_angle
18.086594587947545,114.07203070180172,178.00357722500706
21.097589089987565,108.11213578604661,165.45093301676977
39.617746875917966,132.04003212918224,71.15611722399778
42.3362144773334,68.70878769485562,146.48757111932747
68.65611511665401,173.7779144002202,74.71129908255872
38.219079214392934,4.351384295256196,167.45367944890305
53.832634108120686,78.936644404858,126.24199469542704
28.77512616542668,171.53622098236852,133.68702880719587
55.12973437155213,165.47974060320956,43.15803588154449
18.888397524256852,168.43726120653514,115.75275514458298
77.11922808008553,174.5856121269503,48.03989153063772
111.3640730191203,65.5854529359743,166.25517862601944
98.57656652798084,97.2690472605004,19.230950120553107
38.02181317531641,167.7475628447946,84.88778153380454
22.794128845267903,25.482016783901468,173.08921146410995
31.401185167165753,167.8319213661906,37.55827380012201
127.58201951110365,144.84275552543124,56.00650375196903
92.54526256327522,174.37589000643067,95.99071010478883
23.855429755087147,179.94281625609642,0.33042109985670437
8.350676889022493,172.28449042374353,55.57889201088352
56.85103574135361,89.17028398702246,178.95351758298122
22.448691582378597,70.6259348378201,175.90954950277043
36.97536587616049,42.81920710134716,176.59901252523488
38.638449741087946,95.942321700869,114.7532035530052
25.80410284096428,86.80444784880751,141.08495959311088
37.513064789538255,170.78561914312525,120.82217091433154
54.95683656105166,177.4885129146087,41.51702697048244
8.874506858108552,166.60518391685665,157.0094328674381
36.41910447819868,179.68243152487793,179.77832969821677
16.59389587324278,39.12393162227913,151.76218562483584
47.16546950010879,130.9166048505136,82.36733056402069
33.253857108226136,172.76327124089607,166.55000389662538
29.11593892925935,103.15090817346938,165.0535133759182
66.32390496769824,156.36834615534954,84.4440417468398
32.80676218383006,172.80732010252555,80.92893906330566
132.70861355826065,149.6066842741704,27.425300205701095
51.089950526706005,176.1959554512529,38.43685467707947
12.510678876330772,146.25646670689048,154.77476374859785
26.849964428845357,168.74857614077257,144.98861689048564
46.21265227440086,54.98159695994183,151.03490688721723
35.62628881290651,143.9380044534901,164.247698309269
90.85223643859909,30.356297490785224,143.46949734830994
43.73238726491329,155.77010982193755,61.151818648028474
36.687374026800526,178.14815348484387,108.47615946010148
57.193075197451726,171.56651019198537,88.6721598849803
45.96074868251905,143.47914626731486,143.2363989109358
47.581092476590044,174.4625392725304,85.63033205308038
24.16890553597315,162.8531284193244,148.51617917047085
50.39499505049324,170.74884967321637,129.02219241939932
29.348777965007596,151.9599653811361,130.10261086340094
68.47101578204597,135.8387662710276,65.32138400881954
29.68339843733743,173.0418381796862,76.31917332349951
21.097589089987565,108.11213578604661,165.45093301676977
38.71025468508501,165.7134204347871,142.95813808037983
47.81459129026631,164.52658934891898,9.450334558927427
21.12903356590339,171.74064457670127,155.3953589679331
26.311712325125068,69.04500367854759,156.8371040718611
11.43740808013624,177.97257567764393,145.30480230326702
20.92599999613327,112.84189720869225,164.26043027913755
45.59144975527888,74.72683696542146,172.38834509774958
28.93214596799497,126.42462899142521,174.10090253964515
55.67515460109613,64.56139565407425,152.1052321370809
34.532142245075995,152.60413459772707,172.69443819521848
58.320186082134065,79.09646992595854,140.4668151300046
167.67626214251828,18.904931877639807,172.66140641824322
24.783770036389633,170.254807767849,100.46738754543667
20.792634591714982,36.47967734030677,173.19162701477325
34.87361057741245,118.192143242694,169.2071995067266
122.46154945302618,154.38950339737698,28.38520881942671
21.12903356590339,171.74064457670127,155.3953589679331
64.41195919819187,31.690571877427928,163.95526846053417
62.05680438578569,171.97359657713554,177.46747565147487
20.92599999613327,112.84189720869225,164.26043027913755
126.52300582841363,11.204161307633775,179.00849653225177
28.93214596799497,126.42462899142521,174.10090253964515
39.407736656792714,163.183614178208,69.55314592774411
34.91373179445127,153.19613550555005,173.29417012376982
60.17038847818475,78.435417371512,142.47361757220574
23.607865729884065,75.32206818473011,162.9775519936487
24.86162865997892,173.33246760133537,95.24184242166912
19.298227641550763,179.1462136390031,73.55219134360445
41.11784486565537,156.91044505570602,126.49212979876549
19.603567092386644,169.53624624220254,149.16681403653791
36.425759454652656,178.00072813839435,158.23707906672075
28.335460632435737,153.94565688062514,177.60504050910276
36.54001493567236,164.5854889046931,137.76422358268033
18.740045181058743,73.72986537237864,163.77951743345005
28.424636716547774,153.743893285082,73.92120847762607
22.25304326662616,176.67097227804558,159.2382215095165
67.0626566887841,104.1051893592349,174.91834799198472
48.650610389585786,147.90460954158775,43.11526400067873
8.63074205000409,165.36028153690623,57.524650346085366
28.72217835452013,162.74250743863507,139.48746318296193
33.65336704932243,156.00426601492043,163.03974580659943
16.77922527788896,148.0663275703574,174.23575509475847
30.334549433345526,168.76014528465942,70.11508804149236
76.38431715423158,171.71863090844064,70.74219361331477
23.37950000839344,177.1069049272107,164.45136248168308
28.527595942154626,160.61478395589245,22.769764132164422
56.39850446772614,162.0719796081778,143.0937225462097
8.069767228253369,42.32982000305871,157.46473491848423
61.76170205138905,172.62200067902253,56.32842907746163
57.92437008172867,36.956865295888704,178.00743474137064
22.309106669726226,157.5011088779722,165.46417046310748
36.59779028752468,41.85799457001605,178.49672906076137
54.5230676566047,138.25896074851767,149.87780783073393
36.59779028752468,41.85799457001605,178.49672906076137
32.585608074203975,154.8121589059486,168.6251794742242
29.731809062657167,93.10464261313149,169.95437428811596
67.97252644567033,139.63346676322007,38.3645294381227
4.907759588138964,152.31776595719518,100.87051165597089
27.714247232328436,157.1599083827243,96.23112455358113
6.720361420997085,155.60498969765825,78.99282452751979
46.61908049252566,148.55405898411672,50.559315837869356
55.921937746051974,146.18816105674543,157.21049800150135
